rank,2018,2019,2020,2021
1,…。,譲,譲,ローソン
2,譲,…。,求,譲
3,求,ローソン,…。,求
4,ローソン,求,ローソン,原
5,LINE,金,金,…。
6,な！,な！,な！,トク
7,金,LINE,リプ,金
8,ジェジュン,万名,LINE,前澤
9,チキ,ジェジュン,SixTONES,な！
10,かな,リプ,かな,LINE
11,万名,かな,Switch,リプ
12,キャス,引,前澤,SixTONES
13,担,もっち,Snow Man,かな
14,BTS,なのか,なのか,なのか
15,リプ,担,万名,シンデレラ
16,The,キャス,安倍,Switch
17,なのか,BTS,担,担
18,and,Switch,キャス,Snow Man
19,引,ホイップ,よね,よね
20,you,にも,ジェジュン,キャス
21,ガル,The,D.D.,にも
22,安倍,よね,原,コス
23,よね,安倍,引,もっち
24,にも,バレンタイン,BTS,バレンタイン
25,is,you,にも,ちゅ
26,お姉さん,and,バレンタイン,The
27,初見,ちゅ,ちゅ,初見
28,Switch,お姉さん,The,なな
29,東方神起,コス,Rain,悠
30,羽生,本田圭佑,ステファン,you
31,バレンタイン,Fresh,お姉さん,咲
32,コス,山本太郎,もっち,ジェル
33,乃木坂46,令和,炭,note
34,モイ,初見,100%,EX
35,at,なな,初見,100%
36,with,100%,るぅと,お姉さん
37,ちゅ,ガル,ジェル,たな
38,コナン,お兄ちゃん,乃木坂46,news
39,安室,at,note,トランプ大統領
40,お兄ちゃん,乃木坂46,コス,ちん
41,なな,翔,なな,村正
42,on,モイ,咲,お兄ちゃん
43,欅坂46,アリス,ちん,シン
44,100%,凛,お兄ちゃん,乃木坂46
45,my,ちん,モイ,Follow
46,ちん,is,なにわ男子,ジャニーズWEST
47,TWICE,欅坂46,news,マネ
48,凛,JK,さとみ,炭
49,JK,チャン,治郎,まほ
50,Sign,るん,you,るん
51,EXO,なのかな,めろ,なのかな
52,アリス,SixTONES,るん,めめ
53,るん,with,監督生,治郎
54,BLUE,Love,日向坂46,モイ
55,翔,TWICE,at,BTS
56,瞬,コナン,アリス,るぅと
57,me,サンタ,なのかな,相葉
58,なのかな,香取慎吾,Follow,ヴィル
59,np,美,凛,at
60,it,めろ,World,凛
61,かよ,東方神起,マネ,and
62,めろ,my,JK,菅
63,イケメン,夏,ガル,JK
64,Love,on,菅,さとみ
65,剛,Kis-My-Ft2,翔,ガシャ
66,香取慎吾,日向坂46,志村けん,佐藤
67,羽生結弦,嵐,佐藤,かもしれん
68,line,GO,with,トランプ氏
69,るか,佐藤,レオナ,翔
70,一人,田中,and,日向坂46
71,follow,るか,EX,司
72,森友,ユチョン,こん,こん
73,白猫,かよ,めめ,King
74,news,羽生,チャン,チャン
75,田中,太郎,るか,刀剣男士
76,SR,イケメン,美,良
77,刀剣男士,こん,嵐,吉村
78,殿,良,田中,チコ
79,関ジャニ∞,news,フロイド,るか
80,アイコン,剛,本田圭佑,ジェジュン
81,佐藤,大野,GO,みぃ
82,AKB48,JAPAN,まほ,殿
83,ミッキー,ヒプノシスマイク,アイコン,ホロ
84,キミ,聖,良,中島
85,Galaxy,アイコン,ジュン,吉
86,GO,ナナ,follow,アイコン
87,ヒプノシスマイク,咲,かもしれん,ONE
88,ナナ,一人,一人,美
89,SHINee,炭,森,GAMES
90,チャン,刀剣男士,コナン,ニキ
91,こん,中村,MY,一年
92,サンタ,キミ,King,嵐
93,防弾少年団,マイ,ヴィル,るぅ
94,Gift,SR,ちい,ちい
95,麻生,殿,吉村,with
96,良,薫,るぅ,アリス
97,腐女子,SEVENTEEN,欅坂46,健人
98,夏,太,加藤,is
99,以蔵,me,シン,めろ
100,降谷,シン,山本太郎,follow
101,シン,思,殿,ユンホ
102,聖,3/3,TWICE,岸
103,嵐,ジャニーズWEST,is,櫻井
104,レイヤー,まふまふ,イケメン,なにわ男子
105,森,めめ,太郎,太郎
106,鈴木,AI,on,on
107,太,鈴木,剛,カラダ
108,薫,森,ニキ,田中
109,MAX,it,Love,Go
110,中村,智,薫,マイ
111,咲,King,ひなた,のん
112,SAO,GENE,ホイップ,一人
113,Japan,潤,思,ぺこら
114,透,かもしれん,SEVENTEEN,AI
115,健,ちい,鈴木,NOIR
116,チャンミン,遊,サンタ,アル
117,遊,るぅ,ジャニーズWEST,Just
118,稲垣吾郎,ドン,大野,五条悟
119,マイ,米津玄師,みか,かよ
120,テテ,ココ,かよ,ステファン
121,太郎,菅,SR,三ツ矢
122,ココ,follow,刀剣男士,初音ミク
123,宇野,EXO,白猫,菅義偉
124,It,ガシャ,みぃ,薫
125,山田,ひなた,了,西村
126,米津玄師,np,ミク,C4
127,西野七瀬,MAX,中村,エヴァ
128,あや,Japan,ON,ひなた
129,now,詳,太,中村
130,かもしれん,稲垣吾郎,レオ,SHOW
131,長谷部,腐女子,AI,紫耀
132,まふまふ,高橋,相葉,了
133,so,白猫,宇,松本潤
134,アル,違,ケイト,ぽんかん
135,美,レオ,MAX,万名
136,るぅ,治郎,my,春馬
137,Aqours,岸,伊之助,菊池
138,ガシャ,アル,初音ミク,こち
139,ジャニーズWEST,ドラ,演,東方神起
140,思,相葉,キミ,レオナ
141,ジャン,るぅと,ちえ,目黒
142,加藤,櫻井,司,佐藤勝利
143,SEX,木村,香取慎吾,レオ
144,シンデレラ,山田,夏,E9
145,石破,ミミ,岸,イケメン
146,ジン,宇,中島,シンジ
147,加計,さとみ,星野源,櫻坂
148,木村拓哉,line,春馬,ちえ
149,King,関ジャニ∞,健人,ジュン
150,クリス,ジン,web,みか
151,岸,その子,聖,リン
152,沖田,加藤,紫耀,思
153,そらる,チキ,智,宿儺
154,潤,ミク,違,D.D.
155,高橋,イチロー,JAPAN,ミク
156,智,晶,Go,森
157,その子,あや,のび太,ユニ
158,no,るな,遊,風磨
159,齋藤飛鳥,紫耀,ナナ,web
160,ちい,マネ,アル,BAN
161,吉田,ジェル,羽生,フロイド
162,違,EX,ホロ,関ジャニ∞
163,リン,そらる,こち,安倍
164,SEVENTEEN,サマ,渉,キミ
165,中居正広,はる,はる,my
166,紫耀,前澤,ヒプノシスマイク,佐久間
167,ミク,レイヤー,確,香取慎吾
168,はる,みか,阿部,Rain
169,AI,リン,マイ,確
170,Happy,ジュン,潤,鈴木
171,NCT,原,まふまふ,プチ
172,will,AKB48,大村,潤
173,星野源,Happy,松井,アルセーヌ
174,京,JUN,ココ,宇
175,櫻井,ギア,晃,LiSA
176,るな,さと,るな,GO
177,ジョン,阿部,さと,はる
178,中島,中居正広,ジン,太
179,大野,シンデレラ,GENE,ジン
180,木村,たよ,シンデレラ,ション
181,ドン,Snow Man,三浦,阿部
182,のん,アタリ,ユニ,玉森裕太
183,he,アイ,ちぃ,監督生
184,たよ,ちぃ,am,SR
185,はん,note,JAM,Japan
186,GENE,飛鳥,詳,ドラ
187,リア,テミン,悠,違
188,健人,GOT7,中居正広,Love
189,白石麻衣,のん,LiSA,癒
190,爽,沖田,櫻井,聖
191,カラダ,テテ,たよ,MAX
192,原,すず,りま,Shine
193,YOU,丸山,蓮,加藤
194,アイ,健人,木村,ちょこ
195,装,ジョン,Sexy Zone,るな
196,イケ,Galaxy,スプラ,膝丸
197,晶,中島,忍,さと
198,ミミ,レン,みみ,ぱん
199,TOKIO,ジョナサン,ブー,みみ
200,ドラ,イケ,しのぶ,スプラ
201,ひなた,初音ミク,Japan,渡辺
202,まな,ちえ,ブロ,夢女子
203,愛,山本,ドラ,健
204,二宮和也,ブー,癒,二宮和也
205,nana,確,ぱん,Kis-My-Ft2
206,伊藤,松本,白石麻衣,剛
207,web,なにわ男子,晶,リア
208,相葉,廉,関ジャニ∞,渉
209,SKE48,装,リア,楓
210,林,山口真帆,ラウール,始
211,めめ,愛,小池百合子,三浦
212,コラ,ブロ,あや,向井康二
213,慎吾,ON,夏目,POP
214,EX,彩,ミミ,ON
215,ちぃ,こち,小池,照
216,do,web,カイト,ちぃ
217,null,りま,山田,サンド
218,りな,了,アート,ドン
219,此,Aqours,ギア,譚
220,伊野尾,no,プチ,七海
221,レン,りな,イケ,目黒蓮
222,あかり,亮,サマ,ココ
223,安室奈美恵,あかり,Happy,たよ
224,サマ,はん,テテ,ガル
225,黒猫,アン,NCT,つよ
226,りま,葵,Crazy,英智
227,ぱん,長谷部,POP,あや
228,みく,浦島坂田船,蓮舫,NCT
229,山本,みみ,健,りん
230,ハル,ぱん,なずな,夏目
231,Sexy Zone,ジャン,西村,みお
232,レオ,村上,ジョン,Jr.
233,マネ,此,リン,信長
234,ヒカキン,メギド,ドン,晃
235,阿部,吉田,Kis-My-Ft2,相葉雅紀
236,バーガー,ハル,高橋,ラウール
237,籠池,羽生結弦,すず,齊藤京子
238,関,プチ,アン,ナナ
239,二重,伊藤,バーガー,尾身
240,りぃ,慎吾,黒川,小吉
241,草彅,晃,出,村上
242,スプラ,関,廉,蓮
243,りお,SEX,チー,なずな
244,レイ,渉,Ray,家康
245,福田,エマ,その子,Sexy Zone
246,ちゃーん,橋本,愛,ブロ
247,すず,ユニ,レイ,ヒプノシスマイク
248,大谷,コラ,三浦春馬,遊
249,more,夏目,キャリー,下野
250,ドール,POP,装,西野
251,Kis-My-Ft2,みく,英智,ミミ
252,has,木村拓哉,此,りま
253,みお,ミッキー,ガシャ,松村北斗
254,日向夏,りお,佐久間,ケイト
255,増田,かぐや,ミュート,まふまふ
256,姫,It,伊藤,イケ
257,藤井,みぃ,me,夏
258,癒,Follow,森友,テテ
259,小林,チャンミン,米津玄師,大天
260,ON,ドール,麻生,伊之助
261,あいり,草彅,のん,if
262,if,りぃ,藤原,木村
263,松本,if,V6,愛
264,こち,山口,東方神起,ギア
265,岡田,小林,アイ,此
266,井上,のび太,内田,パス
267,プチ,泉,Re:,D2
268,JAPAN,りん,オクタ,堀江翔太
269,村上,音也,渡辺,智
270,初音ミク,キャリー,れぇ,モー
271,杉田,齋藤飛鳥,みお,晶
272,一織,NCT127,照,ころね
273,A3,まほ,りん,木村拓哉
274,櫻井翔,こちゃ,泉,ジョン
275,三浦,レア,天,山田
276,ニキ,紫,真緒,りな
277,みみ,黒猫,宗,コナン
278,安田,忍,ゴーン,キャリー
279,平野,まな,習近平,ミュート
280,壮,坂本,友也,恵
281,アリ,カミュ,りな,レイ
282,アタリ,佐野,りぃ,専
283,彩,IZ*ONE,みく,WEST
284,福山雅治,司,カラダ,ヨシ
285,みぃ,優,こちゃ,us
286,アーサー,専,橋本,白猫
287,紫,大村,りお,いね
288,Me,ちゃーん,ぬい,JAPAN
289,内田,也,つよ,浜辺美波
290,松本潤,ひろ,はん,菅田
291,玉城デニー,姫,颯馬,ロン
292,花丸,悠,キャル,ぬい
293,確,now,タマ,引
294,ギア,星野源,るかな,はん
295,りこ,攻,京,すず
296,みか,トキヤ,SAO,姫
297,なんとかなる,リア,X1,B型
298,行方不明,圭,3/3,阿部亮平
299,みと,渡辺,木村拓哉,me
300,優,はな,レン,大野
301,3/3,橋本環奈,コラ,影山
302,山口達也,りこ,ちょこ,月姫
303,廉,じゅん,あかり,エマ
304,jp,壮,C4,宗
305,EXILE,A3,レア,てる
306,his,眠,上田,関
307,山口,天,にこ,にこ
308,杉田水脈,れぇ,松本,Happy
309,光,イラ,パス,かぐや
310,委員長,一織,SHOW,A3
311,ジュン,エル,二重,高橋
312,攻,西野七瀬,姫,伊藤
313,はな,京,腐女子,二重
314,トク,明,也,侑
315,りん,みお,稲垣吾郎,正義
316,葵,ミュート,正義,アン
317,GOT7,櫻井翔,マグナ,上白石萌音
318,有岡,JP,関,忍
319,just,始,A3,れぇ
320,れぇ,はち,ドール,真緒
321,World,大野智,じゅん,ハル
322,はち,二重,ジャン,みく
323,ミュート,スプラ,チキ,小池
324,こちゃ,まさ,志村,it
325,イラ,World,藤井,泉
326,始,亀梨和也,かぐや,ジャン
327,マリー,アリ,譚,内田
328,西野,乃,専,神
329,邦,林,JP,林
330,飛鳥,著,モブ,中居正広
331,工藤,癒,レイヤー,ブー
332,じゅん,正義,E9,向井
333,明,轟,下野,京
334,るかな,出,ちゃーん,ちゃーん
335,環,井上,ぴよ,ぺこ
336,赤井,なつ,if,青木
337,カラ松,ニキ,ハッシュタグ,ケイ
338,アン,王,いね,山本太郎
339,ブロ,SAO,著,GENE
340,ユニ,ジオ,HAPPY BIRTHDAY,深澤
341,橋本,択,石破,江
342,an,なんとかなる,ヨシ,ゆう
343,横山,メイ,ハル,アート
344,as,武蔵,アリ,あかり
345,おそ松,るかな,エマ,大野智
346,POP,ONE,黒猫,りぃ
347,也,光,トク,蓮舫
348,著,てる,ぺこら,Stray Kids
349,レア,レイ,壮,VTuber
350,カミュ,トク,ジェシー,その子
351,楓,アート,ゆう,択
352,奈,so,まな,no
353,エル,LiSA,林,コラ
354,みや,楓,シンジ,敬人
355,轟,クリス,イラ,しのぶ
356,譚,譚,ロン,弥
357,天,佐々木,風磨,ろん
358,山田涼介,二宮和也,it,颯馬
359,大倉,平野,敬人,著
360,風磨,菅田将暉,ろん,じゅん
361,テミン,モブ,河井,松井
362,零,ユンホ,択,渡辺翔太
363,たな,YOU,赤木,平野
364,土田,れな,紫,なんとかなる
365,KAT-TUN,ぬい,岡田,松本
366,岩田,健,山本,友也
367,ゆか,マグナ,リリア,れな
368,BEST,トリートメント,てる,櫻井翔
369,MONA,なずな,草彅,康二
370,二郎,翼,リドル,るかな
371,ひろ,増田,れな,一郎
372,佐野,岡田,光,狗巻
373,武蔵,宗,line,GACKT
374,宇野昌磨,ロン,一郎,モブ
375,夏目,行方不明,一織,輿水幸子
376,翼,he,羽生結弦,也
377,田中圭,照,向井康二,齋藤飛鳥
378,JBJ,松井,Aqours,HAPPY BIRTHDAY
379,ロン,乃木,優,ハッシュタグ
380,にこ,河野,トレス,有
381,大野智,風磨,康二,羽生
382,キリト,松本潤,長谷部,まな
383,のび太,蘭丸,河野,天
384,悠,星,マリー,大倉
385,晃,真緒,はち,りお
386,LiSA,二宮,りこ,just
387,前川,みや,有,アイ
388,坂本,一郎,韓,チェリ
389,乃木,英智,沖田,はな
390,さと,環,平野,出
391,強,マリー,fresh,こちゃ
392,たけのこ,WEST,明,line
393,ヴェノム,透,葵,田村
394,池田,内田,メギド,邦
395,渉,那月,菅田,トラ
396,WEST,伊之助,環,ドール
397,てる,信長,ONE,レア
398,JP,Sexy Zone,村上,りこ
399,輝夜月,ミラー,クラン,装
400,ONE,ろん,バニー,星野源
401,トレス,ちょこ,竹中平蔵,沖田
402,NMB48,ゆう,飛鳥,花江夏樹
403,曜,二郎,はな,岩本
404,なつ,韓,BAN,空知
405,ミラー,ぴよ,now,レイヤー
406,蒼井翔太,カラダ,YOSHIKI,ぴよ
407,正義,NCT,桜井誠,葵
408,ゆう,ハニー,なんとかなる,韓
409,二宮,do,そらる,岡田
410,en,Re:,目黒,レン
411,膝丸,null,カミュ,岩田
412,聡,jp,WEST,眠
413,MY,北山,夢女子,MY
414,泉,トレス,ハン,凪砂
415,小野,志麻,佐野,STAY
416,忍,三玖,ななもり,めいちゃん
417,ケン,邦,クリス,ブレ
418,渡辺,横浜流星,no,ミュ
419,ギル,藤原,エル,HAPPY
420,金正恩,うさぎ,It,鶴丸国永
421,5歳,坂田,ディズニー,りんご
422,HKT48,和,大野智,JP
423,守,センラ,攻,リリア
424,れな,前田,D2,ペロシ
425,大ちゃん,安室,グリム,黒猫
426,ちゅん,瞬,実弥,はち
427,about,本作,佐藤健,Channel
428,Roselia,岡本,うさぎ,煉獄杏寿郎
429,なのは,菅田,ひろ,2B
430,りか,ピカチュウ,信長,JUST
431,浦島坂田船,ちゅん,竈門炭治郎,まさ
432,知念,NGT48,透,ジェイ
433,V6,Jr.,神,明
434,甲斐,なのは,田中樹,タン
435,小山,ブル,吉田,璃
436,ハート,ブレ,岩田,Zone
437,王,5歳,レム,和
438,亀梨和也,アーサー,豊,京本大我
439,石原さとみ,えい,櫻井翔,百鬼
440,SHOW,有,亀梨和也,落
441,山崎,SKE48,スカーレット,紫
442,ミナ,Rain,坂本,そらる
443,理事長,義,ローズ,倫也
444,YOSHIKI,X1,なつ,F2
445,択,新色,目黒蓮,黄龍
446,菅田,舞,ルカ,メギド
447,亮,大倉,義,サンタ
448,who,岩田,星野,深澤辰哉
449,菅田将暉,颯馬,邦,アリ
450,圭,letter,EXO,実弥
451,ドナルド,バーガー,まさ,EA
452,アート,Black,章,大倉忠義
453,モブ,なっちゃん,本作,尾丸ポルカ
454,衛,ケン,なのは,エル
455,山本太郎,幸,音也,麻生
456,ユーリ,スイーツ,行方不明,ひろ
457,ぬい,ゆか,バズ,雅紀
458,下北沢,つよ,王,行方不明
459,大杉漣,HAPPY BIRTHDAY,伊野尾,セフ
460,KinKi Kids,SHOW,Jr.,マレウス・ドラコニア
461,桃子,友也,みや,トレス
462,出,にこ,轟,悟
463,神,デス,渡部,チン
464,マグナ,ピエール瀧,幸,高橋一生
465,まさ,いね,永瀬廉,EXO
466,まほ,田村,石川,サンボマスター
467,星野,クラン,ケン,幸
468,うさぎ,工藤,AKB48,みや
469,詳,甲斐,眠,ちゅん
470,ことり,サン,冨岡義勇,光
471,悟空,ハン,テレ,カイト
472,眠,横山,ハート,キャル
473,あず,明石,ゆか,佐倉
474,牧,will,ユンホ,藤井
475,キャリー,太一,菅義偉,アーサー
476,一二三,リサ,増田,竹中平蔵
477,ぴよ,EXILE,璃,透
478,ありす,寿司,SEX,小池百合子
479,Go,落,ブレ,腐女子
480,Hey!Say!JUMP,神,橋下,チー
481,宮野,吉沢亮,anan,一織
482,菅野,山田太郎,花江夏樹,長谷部
483,松井,昭和天皇,落,将暉
484,News,BAN,リー,叶
485,クン,白石麻衣,jp,生田
486,みゆ,龍之介,亮,イラ
487,太一,ホロ,影山,井上
488,音也,バズ,アタリ,ジョー
489,ユンホ,HYDE,浦島坂田船,猗窩座
490,プーさん,伊野尾,前田,おさん
491,ひとは,an,渡辺翔太,A9
492,あおい,たけのこ,デス,亮
493,伊達,ゆな,ミッキー,三浦春馬
494,蓮舫,レム,おさん,ケン
495,落,諭吉,聡,ブル
496,菅,梶,ミラー,瞬
497,start,μ's,一年,ありま
498,晴時,アタル,トキヤ,飛鳥
499,龍之介,三浦,始,伊藤美来
500,Re:,神谷,りんご,うさぎ
